구분별,시점,경기실적SBHI
식료품,2019.10 월,87.4
식료품,2019.11 월,88
식료품,2019.12 월,90.2
식료품,2020.01 월,88.4
식료품,2020.02 월,65.7
식료품,2020.03 월,67.8
식료품,2020.04 월,63.9
식료품,2020.05 월,74.7
식료품,2020.06 월,67.6
식료품,2020.07 월,71.5
식료품,2020.08 월,69.5
식료품,2020.09 월,78.1
식료품,2020.10 월,82.5
식료품,2020.11 월,81
식료품,2020.12 월,68.6
식료품,2021.01 월,80.8
식료품,2021.02 월,80.3
식료품,2021.03 월,85.1
식료품,2021.04 월,81
식료품,2021.05 월,85.6
식료품,2021.06 월,87
식료품,2021.07 월,83
식료품,2021.08 월,82.5
식료품,2021.09 월,97.8
식료품,2021.10 월,87.9
식료품,2021.11 월,92.2
식료품,2021.12 월,83
식료품,2022.01 월,90.6
식료품,2022.02 월,76.4
식료품,2022.03 월,78.1
식료품,2022.04 월,82.2
음료,2015.01 월,81.6
음료,2015.02 월,98.7
음료,2015.03 월,103.7
음료,2015.04 월,110.1
음료,2015.05 월,111.8
음료,2015.06 월,93.1
음료,2015.07 월,105.2
음료,2015.08 월,100.5
음료,2015.09 월,114.1
음료,2015.10 월,89.5
